"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6ARCMP4G","journalArticle","2024","Alderman, Joseph E; Charalambides, Maria; Sachdeva, Gagandeep; Laws, Elinor; Palmer, Joanne; Lee, Elsa; Menon, Vaishnavi; Malik, Qasim; Vadera, Sonam; Calvert, Melanie; Ghassemi, Marzyeh; McCradden, Melissa D; Ordish, Johan; Mateen, Bilal; Summers, Charlotte; Gath, Jacqui; Matin, Rubeta N; Denniston, Alastair K; Liu, Xiaoxuan","Revealing transparency gaps in publicly available COVID-19 datasets used for medical artificial intelligence development—a systematic review","The Lancet Digital Health","","2589-7500","https://doi.org/10.1016/S2589-7500(24)00146-8","https://www.sciencedirect.com/science/article/pii/S2589750024001468","Summary During the COVID-19 pandemic, artificial intelligence (AI) models were created to address health-care resource constraints. Previous research shows that health-care datasets often have limitations, leading to biased AI technologies. This systematic review assessed datasets used for AI development during the pandemic, identifying several deficiencies. Datasets were identified by screening articles from MEDLINE and using Google Dataset Search. 192 datasets were analysed for metadata completeness, composition, data accessibility, and ethical considerations. Findings revealed substantial gaps: only 48","2024","2025-02-12 22:15:54","2025-02-12 22:15:54","","e827-e847","","11","6","","","","","","","","","","","","","","","","","Citation Key: ALDERMAN2024e827","","/Users/pcuellar/Zotero/storage/KZAFXSP7/Alderman et al. - 2024 - Revealing transparency gaps in publicly available COVID-19 datasets used for medical artificial inte.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7RA9VP5","journalArticle","2024","Alencar, Victor; Kohwalter, Troy; Braganholo, Vanessa; da Silva, José Ricardo; Murta, Leonardo","Prov-Dominoes: An approach for knowledge discovery from provenance data","Expert Systems with Applications","","0957-4174","https://doi.org/10.1016/j.eswa.2023.123030","https://www.sciencedirect.com/science/article/pii/S0957417423035327","Provenance has become increasingly relevant to understanding, auditing, and reproducing computational tasks. The provenance analysis processes can often be overwhelming to the user due to the large volume of data, the multiple relationships among data, and the implicit information buried in the data. Existing provenance analysis tools use either visual exploration (which is overwhelming for large provenance graphs) or do not support the exploration of implicit provenance data, such as the inferences of the PROV Data Model Constraints. To fill in this gap, we introduce Prov-Dominoes, a tool designed to interactively enable knowledge discovery on provenance data. Prov-Dominoes promotes the provenance relationships among entities, activities, and agents into first-class elements represented by domino tiles. It allows users to combine and compose such domino tiles visually and interactively, using GPU. The benefits of Prov-Dominoes are three-fold: first, it uses matrices to display provenance data, which is more compact than graphs; second, it allows users to easily explore implicit information; third, it is capable of efficiently processing large datasets using GPUs. We evaluated Prov-Dominoes over distinct case studies, allowing the observation of Prov-Dominoes in action. We also evaluated the performance of sequential combinations executed in Prov-Dominoes when dealing with provenance data with thousands of relations, contrasting their executions in GPU and CPU. The results showed that, for a large dataset, GPU was more than a hundred times faster than CPU.","2024","2025-02-12 22:15:54","2025-02-12 22:15:54","","123030","","","245","","","","","","","","","","","","","","","","","Citation Key: ALENCAR2024123030","","","","Data analysis; Provenance; Knowledge discovery; Gpu computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54QTZEMZ","journalArticle","2025","Alderman, Joseph E; Palmer, Joanne; Laws, Elinor; McCradden, Melissa D; Ordish, Johan; Ghassemi, Marzyeh; Pfohl, Stephen R; Rostamzadeh, Negar; Cole-Lewis, Heather; Glocker, Ben; Calvert, Melanie; Pollard, Tom J; Gill, Jaspret; Gath, Jacqui; Adebajo, Adewale; Beng, Jude; Leung, Cassandra H; Kuku, Stephanie; Farmer, Lesley-Anne; Matin, Rubeta N; Mateen, Bilal A; McKay, Francis; Heller, Katherine; Karthikesalingam, Alan; Treanor, Darren; Mackintosh, Maxine; Oakden-Rayner, Lauren; Pearson, Russell; Manrai, Arjun K; Myles, Puja; Kumuthini, Judit; Kapacee, Zoher; Sebire, Neil J; Nazer, Lama H; Seah, Jarrel; Akbari, Ashley; Berman, Lew; Gichoya, Judy W; Righetto, Lorenzo; Samuel, Diana; Wasswa, William; Charalambides, Maria; Arora, Anmol; Pujari, Sameer; Summers, Charlotte; Sapey, Elizabeth; Wilkinson, Sharon; Thakker, Vishal; Denniston, Alastair; Liu, Xiaoxuan","Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations","The Lancet Digital Health","","2589-7500","https://doi.org/10.1016/S2589-7500(24)00224-3","https://www.sciencedirect.com/science/article/pii/S2589750024002243","Summary Without careful dissection of the ways in which biases can be encoded into artificial intelligence (AI) health technologies, there is a risk of perpetuating existing health inequalities at scale. One major source of bias is the data that underpins such technologies. The STANDING Together recommendations aim to encourage transparency regarding limitations of health datasets and proactive evaluation of their effect across population groups. Draft recommendation items were informed by a systematic review and stakeholder survey. The recommendations were developed using a Delphi approach, supplemented by a public consultation and international interview study. Overall, more than 350 representatives from 58 countries provided input into this initiative. 194 Delphi participants from 25 countries voted and provided comments on 32 candidate items across three electronic survey rounds and one in-person consensus meeting. The 29 STANDING Together consensus recommendations are presented here in two parts. Recommendations for Documentation of Health Datasets provide guidance for dataset curators to enable transparency around data composition and limitations. Recommendations for Use of Health Datasets aim to enable identification and mitigation of algorithmic biases that might exacerbate health inequalities. These recommendations are intended to prompt proactive inquiry rather than acting as a checklist. We hope to raise awareness that no dataset is free of limitations, so transparent communication of data limitations should be perceived as valuable, and absence of this information as a limitation. We hope that adoption of the STANDING Together recommendations by stakeholders across the AI health technology lifecycle will enable everyone in society to benefit from technologies which are safe and effective.","2025","2025-02-12 22:15:55","2025-02-12 22:15:55","","e64-e88","","1","7","","","","","","","","","","","","","","","","","Citation Key: ALDERMAN2025e64","","/Users/pcuellar/Zotero/storage/Z5CMHN2J/Alderman et al. - 2025 - Tackling algorithmic bias and promoting transparency in health datasets the STANDING Together conse.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AH6W4229","preprint","2024","Ahmad, Raia Abu; D'Souza, Jennifer; Zloch, Matthäus; Otto, Wolfgang; Rehm, Georg; Oelen, Allard; Dietze, Stefan; Auer, Sören","Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph","","","","10.48550/arXiv.2404.08443","http://arxiv.org/abs/2404.08443","Search engines these days can serve datasets as search results. Datasets get picked up by search technologies based on structured descriptions on their official web pages, informed by metadata ontologies such as the Dataset content type of schema.org. Despite this promotion of the content type dataset as a first-class citizen of search results, a vast proportion of datasets, particularly research datasets, still need to be made discoverable and, therefore, largely remain unused. This is due to the sheer volume of datasets released every day and the inability of metadata to reflect a dataset's content and context accurately. This work seeks to improve this situation for a specific class of datasets, namely research datasets, which are the result of research endeavors and are accompanied by a scholarly publication. We propose the ORKG-Dataset content type, a specialized branch of the Open Research Knowledge Graoh (ORKG) platform, which provides descriptive information and a semantic model for research datasets, integrating them with their accompanying scholarly publications. This work aims to establish a standardized framework for recording and reporting research datasets within the ORKG-Dataset content type. This, in turn, increases research dataset transparency on the web for their improved discoverability and applied use. In this paper, we present a proposal -- the minimum FAIR, comparable, semantic description of research datasets in terms of salient properties of their supporting publication. We design a specific application of the ORKG-Dataset semantic model based on 40 diverse research datasets on scientific information extraction.","2024-04-12","2025-02-13 14:47:57","2025-02-13 14:47:57","2025-02-13 14:47:57","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2404.08443 [cs]","","","","","Computer Science - Digital Libraries; Computer Science - Information Retrieval","","","","","","","","","","","","","","","","","","","arXiv:2404.08443","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZNMHHKK","preprint","2023","Bianchi, Andrea; d'Aloisio, Giordano; Marzi, Francesca; Marco, Antinisca Di","A Decision Tree to Shepherd Scientists through Data Retrievability","","","","10.48550/arXiv.2304.05767","http://arxiv.org/abs/2304.05767","Reproducibility is a crucial aspect of scientific research that involves the ability to independently replicate experimental results by analysing the same data or repeating the same experiment. Over the years, many works have been proposed to make the results of the experiments actually reproducible. However, very few address the importance of data reproducibility, defined as the ability of independent researchers to retain the same dataset used as input for experimentation. Properly addressing the problem of data reproducibility is crucial because often just providing a link to the data is not enough to make the results reproducible. In fact, also proper metadata (e.g., preprocessing instruction) must be provided to make a dataset fully reproducible. In this work, our aim is to fill this gap by proposing a decision tree to sheperd researchers through the reproducibility of their datasets. In particular, this decision tree guides researchers through identifying if the dataset is actually reproducible and if additional metadata (i.e., additional resources needed to reproduce the data) must also be provided. This decision tree will be the foundation of a future application that will automate the data reproduction process by automatically providing the necessary metadata based on the particular context (e.g., data availability, data preprocessing, and so on). It is worth noting that, in this paper, we detail the steps to make a dataset retrievable, while we will detail other crucial aspects for reproducibility (e.g., dataset documentation) in future works.","2023-04-12","2025-02-13 14:48:22","2025-02-13 14:48:22","2025-02-13 14:48:22","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2304.05767 [cs]","","/Users/pcuellar/Zotero/storage/H3JI9VYW/Bianchi et al. - 2023 - A Decision Tree to Shepherd Scientists through Data Retrievability.pdf","","","Computer Science - Digital Libraries","","","","","","","","","","","","","","","","","","","arXiv:2304.05767","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPPG5MPW","preprint","2021","Bandy, Jack; Vincent, Nicholas","Addressing ""Documentation Debt"" in Machine Learning Research: A Retrospective Datasheet for BookCorpus","","","","10.48550/arXiv.2105.05241","http://arxiv.org/abs/2105.05241","Recent literature has underscored the importance of dataset documentation work for machine learning, and part of this work involves addressing ""documentation debt"" for datasets that have been used widely but documented sparsely. This paper aims to help address documentation debt for BookCorpus, a popular text dataset for training large language models. Notably, researchers have used BookCorpus to train OpenAI's GPT-N models and Google's BERT models, even though little to no documentation exists about the dataset's motivation, composition, collection process, etc. We offer a preliminary datasheet that provides key context and information about BookCorpus, highlighting several notable deficiencies. In particular, we find evidence that (1) BookCorpus likely violates copyright restrictions for many books, (2) BookCorpus contains thousands of duplicated books, and (3) BookCorpus exhibits significant skews in genre representation. We also find hints of other potential deficiencies that call for future research, including problematic content, potential skews in religious representation, and lopsided author contributions. While more work remains, this initial effort to provide a datasheet for BookCorpus adds to growing literature that urges more careful and systematic documentation for machine learning datasets.","2021-05-11","2025-02-13 14:48:46","2025-02-13 14:48:46","2025-02-13 14:48:46","","","","","","","Addressing ""Documentation Debt"" in Machine Learning Research","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2105.05241 [cs]","","","","","Computer Science - Computers and Society; Computer Science - Computation and Language; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2105.05241","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUTJGY8F","journalArticle","2025","Bhardwaj, Eshta; Gujral, Harshit; Wu, Siyi; Zogheib, Ciara; Maharaj, Tegan; Becker, Christoph","The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track","Advances in Neural Information Processing Systems","","","","https://proceedings.neurips.cc/paper_files/paper/2024/hash/605bbd006beee7e0589a51d6a50dcae1-Abstract-Datasets_and_Benchmarks_Track.html","","2025-01-31","2025-02-24 20:19:17","2025-02-24 20:19:17","2025-02-24 20:19:00","53626-53648","","","37","","","The State of Data Curation at NeurIPS","","","","","","","en","","","","","proceedings.neurips.cc","","","","/Users/pcuellar/Zotero/storage/4J72NJZV/Bhardwaj et al. - 2025 - The State of Data Curation at NeurIPS An Assessment of Dataset Development Practices in the Dataset.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDM3GZAE","conferencePaper","2024","Abouelkhair, Amr; Majdi, Kiarash; Limam, Noura; Salahuddin, Mohammad A.; Boutaba, Raouf","5GProvGen: 5G Provenance Dataset Generation Framework","2024 20th International Conference on Network and Service Management (CNSM)","","","10.23919/CNSM62983.2024.10814296","https://ieeexplore.ieee.org/document/10814296","The softwarization and virtualization of the fifth-generation (5G) cellular networks bring about increased flexibility and faster deployment of new services. However, these advancements also introduce new vulnerabilities and unprecedented attack surfaces. The cloud-native nature of 5G networks mandates detecting and protecting against threats and intrusions in the cloud systems. Additionally, the evolving cyber-threat landscape and the growing reliance on cellular networks for mission-critical tasks reinforce the need for robust security systems, which should be capable of detecting stealthy and zero-day attacksRecent developments in Provenance-based Intrusion Detection Systems (PIDS) address these requirements. These host-based systems aim to analyze provenance graphs derived from system calls to uncover any deviation from the expected benign behaviour of the host. Provenance graphs are structured as holistic representations of the dependencies and causal relationships between digital objects, and hence they fit well in the Service-based Architecture (SBA) of 5G networks. However, deploying PIDS requires substantial datasets of provenance graphs collected from the relevant hosts. In this work, we propose a framework to generate provenance graphs datasets for a 5G core network. We provide an example dataset and evaluate the state-of-the-art PIDS in protecting a 5G network core from various threats.","2024-10","2025-02-27 21:30:39","2025-02-27 21:30:39","2025-02-27 21:30:39","1-9","","","","","","5GProvGen","","","","","","","","","","","","IEEE Xplore","","ISSN: 2165-963X","","/Users/pcuellar/Zotero/storage/8Q2ZYTSE/Abouelkhair et al. - 2024 - 5GProvGen 5G Provenance Dataset Generation Framework.pdf","","","5G; 5G mobile communication; Cellular networks; Cloud computing; dataset; GNN; Intrusion detection; Mission critical systems; provenance; Security; service-based infrastructure; Source coding; Virtualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 20th International Conference on Network and Service Management (CNSM)","","","","","","","","","","","","","","",""
"II3XAA2D","conferencePaper","2021","Afzal, Shazia; Rajmohan, C; Kesarwani, Manish; Mehta, Sameep; Patel, Hima","Data Readiness Report","2021 IEEE International Conference on Smart Data Services (SMDS)","","","10.1109/SMDS53860.2021.00016","https://ieeexplore.ieee.org/abstract/document/9592479","Data exploration and quality analysis is an important yet tedious process in the AI pipeline. Current data cleaning and data readiness assessment practices for machine learning tasks are mostly conducted in an arbitrary manner which limits their reuse and often results in loss of productivity. We introduce the concept of a Data Readiness Report as accompanying documentation to a dataset that allows data consumers to get detailed insights into the quality of data. Data characteristics and challenges on various quality dimensions are identified and documented, keeping in mind the principles of transparency and explainability. The Data Readiness Report also serves as a record of all data assessment operations, including applied transformations. This provides a detailed lineage for data governance and management. In effect, the report captures and documents the actions taken by various personas in a data readiness and assessment workflow. Over time this becomes a repository of best practices and can potentially drive a recommendation system for building automated data readiness workflows on the lines of AutoML [1]. The data readiness report could serve as a valuable asset for organizing and operationalizing data in a Data-as-a-service model as it augments the trust and reliability of the datasets. We anticipate that together with the Datasheets [2], Dataset Nutrition Label [3], FactSheets [4] and Model Cards [5], the Data Readiness Report completes the AI documentation pipeline and increases trust and re-useability of data.","2021-09","2025-02-27 21:31:13","2025-02-27 21:31:13","2025-02-27 21:31:13","42-51","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/pcuellar/Zotero/storage/D9L4S8YH/Afzal et al. - 2021 - Data Readiness Report.pdf","","","Conferences; data assurance and trust; data documentation and governance; Data integrity; Data models; data quality; Documentation; Machine learning; machine learning datasets; Pipelines; Productivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE International Conference on Smart Data Services (SMDS)","","","","","","","","","","","","","","",""
"J4N2TPJ3","journalArticle","2019","Arslan, Ruben C.","How to Automatically Document Data With the codebook Package to Facilitate Data Reuse","Advances in Methods and Practices in Psychological Science","","2515-2459","10.1177/2515245919838783","https://doi.org/10.1177/2515245919838783","Data documentation in psychology lags behind not only many other disciplines, but also basic standards of usefulness. Psychological scientists often prefer to invest the time and effort that would be necessary to document existing data well in other duties, such as writing and collecting more data. Codebooks therefore tend to be unstandardized and stored in proprietary formats, and they are rarely properly indexed in search engines. This means that rich data sets are sometimes used only once—by their creators—and left to disappear into oblivion. Even if they can find an existing data set, researchers are unlikely to publish analyses based on it if they cannot be confident that they understand it well enough. My codebook package makes it easier to generate rich metadata in human- and machine-readable codebooks. It uses metadata from existing sources and automates some tedious tasks, such as documenting psychological scales and reliabilities, summarizing descriptive statistics, and identifying patterns of missingness. The codebook R package and Web app make it possible to generate a rich codebook in a few minutes and just three clicks. Over time, its use could lead to psychological data becoming findable, accessible, interoperable, and reusable, thereby reducing research waste and benefiting both its users and the scientific community as a whole.","2019-06-01","2025-03-04 17:13:38","2025-03-04 17:13:38","2025-03-04 17:13:38","169-187","","2","2","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/pcuellar/Zotero/storage/V66X6WYB/Arslan - 2019 - How to Automatically Document Data With the codebook Package to Facilitate Data Reuse.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
