title,authors,year,prior_user_research,"If study was used, type of study used",,audiences,stakeholders_mentioned,stakeholders_involved,"What is the precise context of use of the tool as presented by authors
",tool_evaluation,degree_automation,tool_integration,tool_description
A domain-specific language for describing machine learning datasets,"Giner-Miguelez, Joan; Gómez, Abel; Cabot, Jordi",2023,No,,,dataset creators,No,No,"ML projects
ML research",Yes,Manual,No,app
Dataset construction challenges for digital forensics,"Horsman, Graeme; Lyle, James R.",2021,No,,,"dataset creators, dataset users",No,No,The creation and evaluation of datasets for datset forensic,No,Manual,Yes,
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,"Jain, Nitisha; Akhtar, Mubashara; Giner-Miguelez, Joan; Shinde, Rajat; Vanschoren, Joaquin; Vogler, Steffen; Goswami, Sujata; Rao, Yuhan; Santos, Tim; Oala, Luis; Karamousadakis, Michalis; Maskey, Manil; Marcenac, Pierre; Conforti, Costanza; Kuchnik, Michael; Aroyo, Lora; Benjelloun, Omar; Simperl, Elena",2024,Yes,"An iterative vocabulary engineering process using participatory and codesign activities with experts, and including a participatory evaluation of the product. 

-------
This section presents the details of the vocabulary design and engineering process for Croissant-RAI format. The entire process has been led by commu- nity projects involving experts from various back- grounds, referred to as stakeholders below. The dif- ferent aspects of Croissant-RAI were meticulously defined using a comprehensive vocabulary engineer- ing process which was focused on iterative and par- ticipatory co-design activities

rom various domains and levels of expertise. Through several brainstorming sessions, stake- holders identified and prioritized the attributes for the Croissant-RAI format. This collaborative approach ensured that the identified use cases were comprehensive, relevant, and aligned with the overarching goals of promoting data standardization and responsible AI practices.

Scope Definition. Through participatory co- design activities, stakeholders formulated com- petency questions to that defined the scope and requirements of the Croissant-RAI vocabulary. These questions reflected diverse perspectives and priorities, acting as guiding principles. They helped identify the key features and function- alities necessary to meet the objectives of the Croissant-RAI vocabulary.

Conceptualization of RAI extension and Implementation. Building on insights from co-design activities discuss above, the conceptual framework for the Croissant-RAI vocabulary was defined on top of Croissant. Through col- laborative modeling sessions, concept mapping exercises, and scenario-based discussions, we en- sured that the Croissant-RAI vocabulary aligned with use cases, stakeholder priorities and did not overlap or contradiction with the Croissant format. Moreover, in biweekly sprint cycles a conceptual model of the Croissant-RAI vocabu- lary as developed. This facilitated an integration of Croissant-RAI with Croissant and ensured compatibility with existing functionalities",,,No,Yes,"AI -  data standardization and responsible AI practices for the data life cycle, data labelling, data participation, AI safety and fairness, and regulatory compliance. 

--------

Through several brainstorming sessions, stake- holders identified and prioritized the attributes for the Croissant-RAI format. This collaborative approach ensured that the identified use cases were comprehensive, relevant, and aligned with the overarching goals of promoting data standardization and responsible AI practices.

The initial use cases are centered on documenting
the data life cycle, characterizing in-depth data
labeling and data participatory processes, and providing
critical information for AI safety and fairness
assessments and regulatory compliance checks

The entire process has been led by community
projects involving experts from various backgrounds,
referred to as stakeholders below",Yes,Manual,No,markup format
Data-envelopes for cultural heritage: Going beyond datasheets,"Luthra, Mrinalini; Eskevich, Maria",2024,No,,,dataset creators,Yes,No,,No,Manual,No,
Language Dataset Documentation Design: Learning from Deaf and Indigenous Communities,"McMillan-Major, Angelina Yvonne",2023,Yes,"workshop with NLP practitioners

""to achieve these goals, we first conducted a workshop  with NLP practitioners in order to identify gaps and limitations of the toolkit as well as to develop best practices for writing data statements, yielding an interim improved toolkit. Then we conducted an analytic comparison between the interim toolkit and another documentation toolkit, datasheets for datasets. Based on these two integrated processes, we presented our revised Version 2 schema and best practices in a guide for writing data statements. Our findings more generally provide integrated processes for co-evolving both  technology and practice to address ethical concerns within situated technical communities""

Ths paper is about C3DAR, not Data Statements",,"dataset creators, dataset users",Yes,Yes,collaborative partnerships between communities and researchers working to develop language datasets,No,Manual,No,toolkit
Datasheets for AI and medical datasets (DAIMS): a data validation and documentation framework before machine learning analysis in medical research,"Marandi, Ramtin Zargari; Frahm, Anne Svane; Milojevic, Maja",2025,No,,,"dataset creators, data experts",No,No,"Even though the context is the medical field, there are many moments where authors try to make the case that the context can be much broader, that the tool is flexible enough for other uses that expand the context (e.g., various medical AI applications, not even limited to ML or medicine)


------
Use of ML in the medical field covering all aspects of the dataset lifecycle
guidelines for dataset maintenance, including versioning, mechanisms for updates, and clear attributions for interdisciplinary collaboration. 

However, it lacked domain-specific guidance critical for clinical and medical datasets, such as considerations for patient confidentiality. The current framework, DAIMS, addresses these gaps by incorporating domain-specific terminology, introducing a detailed checklist for data cleaning and standardization in medical data, and emphasizing subpopulation analysis and outcome variables. It also adds comprehensive sections on ethical review processes, data protection impact analyses, and mechanisms for dataset maintenance and updates, in line with medical research needs. These improvements make the framework more practical for documenting datasets in medical contexts, while still retaining its original focus on transparency and reproducibility.

The flowchart is designed to be adaptable across various medical AI applications, promoting a standardized yet flexible framework for model selection and development.


It also can serve as a documentation reference and framework for data versioning and warehousing where researchers can make informed decisions about the version of the dataset needed for a new study.

DAIMS is also formulated to cover a broad set of research applications and that means it can be applied to any relevant research area and is not limited to ML or medical research only. The data validation and documentation framework can be utilized across diverse research and application scenarios. A key use case is reporting detailed dataset information as part of research publication, such as in Paetzold et al.28. DAIMS also supports open science initiatives by facilitating dataset sharing and can serve as a tool for grant proposals or regulatory submissions.",No,Hybrid,No,framework
Datasheets for Energy Datasets: An Ethically-Minded Approach to Documentation,"Heintz, Ilana",2023,No,"This a paper about how documentation is being used (authors analyze energy-related public datasets to analyze the documentation) and then derive questions that the documentation framework could add for attending to the energy domain. I am marking it in red because there is no proposal of a tool as such, there are a group of questions (three I think) that the authors suggest should be considered for datasheets for energy. ",,dataset creators,No,No,"datasets in data-driven energy research
the collection, analysis, and distribution of datasets.
renewable energy development and other areas of energy research.
ethical AI in the energy domain",No,Manual,No,datasheet
Tackling Documentation Debt: A Survey on Algorithmic Fairness Datasets,"Fabris, Alessandro; Messina, Stefano; Silvello, Gianmaria; Susto, Gian Antonio",2022,No,"""Data briefs were drafted by the first author and reviewed by the remaining authors.""",,data curators,No,No,"fair ML, such sensitive attributes and tasks for which the dataset has been used in the algorithmic fairness literature.
 fairness research

""Data briefs are meant as short documentation providing essential information on datasets
used in fairness research. ""

""We envision several benefits for the algorithmic
equity and data studies research communities""

the algorithmic fairness community

",No,Manual,No,datasheet
Using Large Language Models to Enrich the Documentation of Datasets for Machine Learning,"Giner-Miguelez, Joan; Gómez, Abel; Cabot, Jordi",2024,No,,,dataset practitioners,No,No,"the machine learning community
the description of machine learning datasets",Yes,Automated,No,
Distinguishing provenance equivalence of earth science data,Tilmes,2011,No,"I am not sure this study should be part of the papers we are analyzing. This paper leverages an aspect of dataset documentation (provenance) for the purpose of determining dataset scientific equivalence. It thus, can tell us something about the utility of provenance but no aspect of how provenance is documented is ever touched on. ",,dataset creators,No,No,"Scientific contexts such as earth science, where there is a need to recognize scientifically equivalent datasets",No,Automated,No,
Artsheets for Art Datasets,"Srinivasan, Ramya; Denton, Emily; Famularo, Jordan; Rostamzadeh, Negar; Diaz, Fernando; Coleman, Beth",2021,No,,,"dataset creators, dataset users, dataset users",No,No,ML but also cultural stakeholders,No,Manual,No,datasheet
Healthsheet: Development of a Transparency Artifact for Health Datasets,"Rostamzadeh, Negar; Mincu, Diana; Roy, Subhrajit; Smart, Andrew; Wilcox, Lauren; Pushkarna, Mahima; Schrouff, Jessica; Amironesei, Razvan; Moorosi, Nyalleng; Heller, Katherine",2022,Yes,"Systematic lit review, interviews,  validatio of datasets, and qualitative engagements. (Section 2)",,"dataset creators, data experts, data practitioners",No,Yes,,Yes,Manual,No,questionnaire
A Methodology for Creating AI FactSheets,"Richards, John; Piorkowski, David; Hind, Michael; Houde, Stephanie; Mojsilović, Aleksandra",2020,No,This paper describes a methodology,,"dataset creators, data curators",No,No,The authors propose using their methodology in different context related to developing ai technologies,No,Hybrid,Yes,framework
A Field Study of a Human-Centered Process for Increasing AI Transparency,"Piorkowski, David; Richards, John; Hind, Michael",2024,Yes,Field study and interview study,,dataset creators,No,Yes,The context in which the authors conducted the study was an AI organization in the healthcare domain,Yes,Manual,Yes,app
Reusable Templates and Guides For Documenting Datasets and Models for Natural Language Processing and Generation: A Case Study of the HuggingFace and GEM Data and Model Cards,"McMillan-Major, Angelina; Osei, Salomey; Rodriguez, Juan Diego; Ammanamanchi, Pawan Sasanka; Gehrmann, Sebastian; Jernite, Yacine",2021,No,"The authors conducted a stakeholder analysis. However, the authors did not explicitly mention conducting a formal needs assessment or user research study as a basis for the development of the documentation templates. Instead, the development process involved identifying relevant stakeholder groups (such as dataset curators, model developers, organizations managing the resources, and users), defining guiding principles based on these stakeholders' values, and iteratively revising the templates based on feedback from the community and experts familiar with documentation practices. They also drew on existing documentation templates (e.g., from Bender and Friedman (2018) and Mitchell et al. (2019)) as foundations and adapted them for their specific contexts (HuggingFace and GEM). While there was consideration of stakeholder needs and iterative feedback, there was no direct mention of a formal needs assessment or user research study as typically understood in user-centered design processes.",,"dataset creators, data organizations",No,No,The templates aim to standardize documentation practices across the NLP community and are integrated into platforms such as the HuggingFace dataset hub and the GEM benchmark for natural language generation (NLG).,No,Manual,No,datasheet
Data cards: Purposeful and transparent dataset documentation for responsible AI,"Pushkarna, Mahima; Zaldivar, Andrew; Kjartansson, Oddur",2022,Yes,"The authors worked with 12 teams within a large technology company over 24 months to create 22 Data Cards for various dataset types in production settings. This collaboration allowed them to observe documentation workflows, collaborative information gathering, and review practices. Additionally, they conducted studies, workshops, and surveys involving stakeholders across different roles and expertise levels to identify opportunities, challenges, and information needs in dataset documentation.",,"dataset creators, dataset users",No,Yes,Industry,Yes,Hybrid,Yes,framework
"Can machines help us answering question 16 in datasheets, and in turn reflecting on inappropriate content?","Schramowski, Patrick; Tauchmann, Christopher; Kersting, Kristian",2022,No,,,"dataset creators, data curators",No,No,"The tool, called Q16, is presented by the authors as a semi-automatic method to assist dataset creators in documenting inappropriate image content in large-scale computer vision datasets. Its precise context of use is to help answer Question 16 in Datasheets for Datasets, which asks whether a dataset contains data that might be offensive, insulting, threatening, or otherwise cause anxiety if viewed directly",No,Hybrid,No,app
Augmented datasheets for speech datasets and ethical decision-making,"Papakyriakopoulos, Orestis; Choi, Anna Seo Gyeong; Thong, William; Zhao, Dora; Andrews, Jerone; Bourke, Rebecca; Xiang, Alice; Koenecke, Allison",2023,No,"The authors conducted  a ""literature review on a set of 178 speech studies related to fairness and diversity as well as 220 speech datasets""",,dataset creators,No,No,Datasets in the context of Speech Language Technologies (SLT),No,Manual,No,datasheet
Data statements: From technical concept to community practice,"McMillan-Major, Angelina; Bender, Emily M.; Friedman, Batya",2024,Yes,The authors conducted a NLP Community-BasedWorkshop and then an Analytical Comparison to Datasheets for Datasets,,dataset creators,No,Yes,"There is not an specific context, instead the authors situate their research on the NLP community",No,Manual,No,questionnaire
Clear and precise specification of ecological data management processes and dataset provenance,"Osterweil, Leon J.; Clarke, Lori A.; Ellison, Aaron M.; Boose, Emery; Podorozhny, Rodion; Wise, Alexander",2010,No,,,"dataset creators, data curators",No,No,The use case presented is the Water Budget process at the Harvard Forest Long-Term Ecological Research site.,Yes,Hybrid,No,markup format
Datasheets for Healthcare AI: A Framework for Transparency and Bias Mitigation,"Siddik, Marjia; Pandit, Harshvardhan J.",2025,No,,,"dataset creators, data experts",No,No,"Healthcare, and more specifically in Ireland. The article includes a section (section 4) that describes the Irish Healthcare Context.",No,Automated,No,app
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms","Mittal, Surbhi; Thakral, Kartik; Singh, Richa; Vatsa, Mayank; Glaser, Tamar; Ferrer, Cristian Canton; Hassner, Tal",2024,No,,,"dataset creators, data experts",No,No,Biometric and healthcare datasets in the context of developing AI technologies.,No,Hybrid,No,framework
Right the docs: Characterising voice dataset documentation practices used in machine learning,"Reid, Kathy; Williams, Elizabeth T.",2023,Yes,Semi-structured interviews,,dataset creators,No,Yes,The context is dataset documentation for voice dataset documents (VDD) in the Machine Learning lifecycle.  Automatic Speech recognition and ML practitioners,No,Hybrid,No,
Completeness of Datasets Documentation on ML/AI Repositories: An Empirical Investigation,"Rondina, Marco; Vetrò, Antonio; De Martin, Juan Carlos",2023,No,,,"dataset creators, data curators",No,No,Dataset documentation in popular ML/AI repositories.,No,Manual,No,markup format
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,"Roman, Anthony Cintron; Vaughan, Jennifer Wortman; See, Valerie; Ballard, Steph; Torres, Jehu; Robinson, Caleb; Ferres, Juan M. Lavista",2024,Yes,"The  authors follow a ""multistage process that incorporated feedback from various dataset producers"". In terms of studies/methods, the authors conducted a i)case study analysis, ii) gather qualitative feedback, and iii) conducted a usability testing (see page 3).",,dataset creators,No,Yes,Open datasets for AI applications. ,No,Hybrid,No,framework
Ontology-Supported AI Model and Dataset Management,"Novacek, Jan; Ahari, Ali; Müller, Tobias; Reiter, Sebastian; Viehl, Alexander; Bringmann, Oliver",2024,No,,,"dataset creators, dataset users",No,Yes,"The tool is designed to support interdisciplinary cooperation along the AI model lifecycle, from data acquisition and model development through to end-user deployment, especially in industrial contexts.",Yes,Hybrid,No,app
Ensuring Dataset Quality for Machine Learning Certification,"Picard, S.; Chapdelaine, C.; Cappi, C.; Gardes, L.; Jenn, E.; Lefevre, B.; Soumarmon, T.",2020,No,,,"dataset creators, dataset users",Yes,No,Dataset quality in the context of the development of a ML-based certified system,No,Hybrid,No,questionnaire
dataMaid: Your Assistant for Documenting Supervised Data Quality Screening in R,"Petersen, Anne Helby; Ekstrøm, Claus Thorn",2019,No,,,dataset creators,No,No,"The context is data cleaning workflows [Quote] ""the general challenges in data cleaning and documentation faced by statisticians and data analysts, such as the time-consuming nature of the process, the need for human supervision, and the importance of reproducibility""",No,Hybrid,Yes,app
FactSheets: Increasing trust in AI services through supplier's declarations of conformity,"Arnold, M.; Bellamy, R. K. E.; Hind, M.; Houde, S.; Mehta, S.; Mojsilović, A.; Nair, R.; Ramamurthy, K. Natesan; Olteanu, A.; Piorkowski, D.; Reimer, D.; Richards, J.; Tsay, J.; Varshney, K. R.",2019,No,,,dataset creators,Yes,No,"A marketplace where AI suppliers need a trust, transparency mechanisms for their products to be trusted",No,Manual,No,questionnaire
The Dataset Nutrition Label (2nd Gen): Leveraging Context to Mitigate Harms in Artificial Intelligence,"Chmielinski, Kasia S.; Newman, Sarah; Taylor, Matt; Joseph, Josh; Thomas, Kemi; Yurkofsky, Jessica; Qiu, Yue Chelsea",2022,Yes,This redesign was as a result of interviews and feedback from data scientists and other practitioners,,"dataset creators, data practitioners",Yes,Yes,Research,No,Hybrid,,framework
Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science,"Bender, Emily M.; Friedman, Batya",2018,No,,,dataset creators,No,No,Dataset documentation within NLP,No,Manual,No,questionnaire
Aether Data Documentation Template,,2022,No,,,"dataset creators, dataset auditors",No,No,Development and release of datasets,No,Manual,No,questionnaire
Interactive Model Cards: A Human-Centered Approach to Model Documentation,"Crisan, Anamaria; Drouhard, Margaret; Vig, Jesse; Rajani, Nazneen",2022,Yes,"""[...]  Our investigation consists of an initial conceptual study with experts in ML, NLP, and AI Ethics, followed by a separate evaluative study with non-expert analysts who use ML models in their work. Using a semi-structured interview format coupled with a think-aloud protocol, ",,,Yes,Yes,Production and consuption of datasets for research purposes,Yes,Manual,No,framework
Method cards for prescriptive machine-learning transparency,"Adkins, David; Alsallakh, Bilal; Cheema, Adeel; Kokhlikyan, Narine; McReynolds, Emily; Mishra, Pushkar; Procope, Chavez; Sawruk, Jeremy; Wang, Erin; Zvyagina, Polina",2022,No,,,dataset creators,No,No,Dataset documentation during the ML pipeline,No,Manual,No,framework
The CLeAR Documentation Framework for AI Transparency: Recommendations for Practitioners & Context for Policymakers,,2024,No,,,dataset practitioners,Yes,No,"""This framework aims to provide practi- tioners and policymakers with concrete principles to guide the implementation of Comparable, Legible, Actionable, and Robust documentation of datasets, models, and AI systems. """,No,Manual,No,framework
Machine learning data practices through a data curation lens: An evaluation framework,"Bhardwaj, Eshta; Gujral, Harshit; Wu, Siyi; Zogheib, Ciara; Maharaj, Tegan; Becker, Christoph",2024,Yes,"""mixed-methods analysis of evaluation results for 25 ML datasets, we study the feasibility of data curation principles to be adopted for machine learning data work in practice and explore how data curation is currently performed. """,,dataset practitioners,Yes,No,ML dataset development,Yes,Manual,No,framework
Datasheets for datasets help ML engineers notice and understand ethical issues in training data,"Boyd, Karen L.",2021,Yes,"""think-aloud protocol""",,dataset creators,Yes,Yes,ML dataset development,Yes,Manual,No,
Network report: a structured description for network datasets,"Zheng, Xinyi; Rossi, Ryan A.; Ahmed, Nesreen K.; Moritz, Dominik",2022,No,,,"dataset creators, dataset users",Yes,No,Development of network datasets,Yes,Hybrid,No,datasheet
On the effectiveness of dataset watermarking,"Atli Tekgul, Buse Gul; Asokan, N.",2022,No,,,dataset creators,No,No,Provenance and verification of datasets,Yes,Automated,Yes,app
Datasheet for subjective and objective quality assessment datasets,"Barman, Nabajeet; Reznik, Yuriy; Martini, Maria",2023,No,,,"dataset creators, dataset users",No,No,"""The datasheet can be filled by either the dataset creator or the end-user and then shared for easier understanding and reproducibility of their work.",Yes,Manual,No,datasheet
